finding_category,finding_severity,resource_name,resource_type,resource_project,resource_location,finding_description,remediation,finding_state
FULL_API_ACCESS,CRITICAL,//compute.googleapis.com/projects/my-project/zones/us-central1-a/instances/web-server-1,compute.googleapis.com/Instance,my-project,us-central1-a,VM instance has scopes granting full API access (cloud-platform scope),Reconfigure the instance to use specific API scopes instead of cloud-platform,ACTIVE
PUBLIC_IP_ADDRESS,HIGH,//compute.googleapis.com/projects/my-project/zones/us-central1-a/instances/web-server-1,compute.googleapis.com/Instance,my-project,us-central1-a,VM instance has an external public IP address assigned,Consider using Cloud NAT or a load balancer instead of direct public IP,ACTIVE
COMPUTE_SECURE_BOOT_DISABLED,MEDIUM,//compute.googleapis.com/projects/my-project/zones/us-central1-a/instances/web-server-1,compute.googleapis.com/Instance,my-project,us-central1-a,Shielded VM secure boot is not enabled on this instance,Enable secure boot in the shielded VM configuration,ACTIVE
PRIVATE_CLUSTER_DISABLED,HIGH,//container.googleapis.com/projects/my-project/locations/us-central1/clusters/prod-cluster,container.googleapis.com/Cluster,my-project,us-central1,GKE cluster has public endpoint exposed,Enable private cluster mode to restrict access to the control plane,ACTIVE
WORKLOAD_IDENTITY_DISABLED,HIGH,//container.googleapis.com/projects/my-project/locations/us-central1/clusters/prod-cluster,container.googleapis.com/Cluster,my-project,us-central1,Workload Identity is not enabled on this GKE cluster,Enable Workload Identity for secure service account management,ACTIVE
PUBLIC_BUCKET_ACL,CRITICAL,//storage.googleapis.com/projects/_/buckets/public-assets-bucket,storage.googleapis.com/Bucket,my-project,us,Storage bucket has public access configured,Remove public access and use signed URLs or IAM for access control,ACTIVE
OPEN_SSH_PORT,CRITICAL,//compute.googleapis.com/projects/my-project/global/firewalls/allow-ssh-all,compute.googleapis.com/Firewall,my-project,global,Firewall rule allows SSH (port 22) from any IP address (0.0.0.0/0),Restrict SSH access to specific IP ranges or use IAP for SSH,ACTIVE
OPEN_RDP_PORT,CRITICAL,//compute.googleapis.com/projects/my-project/global/firewalls/allow-rdp-all,compute.googleapis.com/Firewall,my-project,global,Firewall rule allows RDP (port 3389) from any IP address (0.0.0.0/0),Restrict RDP access to specific IP ranges or disable if not needed,ACTIVE
SQL_PUBLIC_IP,CRITICAL,//sqladmin.googleapis.com/projects/my-project/instances/prod-db,sqladmin.googleapis.com/Instance,my-project,us-central1,Cloud SQL instance has a public IP address enabled,Use private IP with VPC peering for secure database access,ACTIVE
SQL_SSL_NOT_ENFORCED,HIGH,//sqladmin.googleapis.com/projects/my-project/instances/prod-db,sqladmin.googleapis.com/Instance,my-project,us-central1,Cloud SQL instance does not require SSL for connections,Enable SSL requirement in instance settings,ACTIVE
SQL_AUTHORIZED_NETWORKS_WIDE,CRITICAL,//sqladmin.googleapis.com/projects/my-project/instances/prod-db,sqladmin.googleapis.com/Instance,my-project,us-central1,Cloud SQL instance allows connections from any IP (0.0.0.0/0),Restrict authorized networks to specific IP ranges,ACTIVE
SQL_AUTO_BACKUP_DISABLED,MEDIUM,//sqladmin.googleapis.com/projects/my-project/instances/dev-db,sqladmin.googleapis.com/Instance,my-project,us-central1,Automatic backups are not enabled for this Cloud SQL instance,Enable automatic backups with appropriate retention,ACTIVE
VTPM_DISABLED,LOW,//compute.googleapis.com/projects/my-project/zones/us-central1-a/instances/web-server-2,compute.googleapis.com/Instance,my-project,us-central1-a,Virtual Trusted Platform Module is not enabled,Enable vTPM for enhanced security monitoring,ACTIVE
INTEGRITY_MONITORING_DISABLED,LOW,//compute.googleapis.com/projects/my-project/zones/us-central1-a/instances/web-server-2,compute.googleapis.com/Instance,my-project,us-central1-a,Integrity monitoring is not enabled on this shielded VM,Enable integrity monitoring to detect boot-level rootkits,ACTIVE
OS_LOGIN_DISABLED,MEDIUM,//compute.googleapis.com/projects/my-project/zones/us-central1-a/instances/web-server-3,compute.googleapis.com/Instance,my-project,us-central1-a,OS Login is not enabled for centralized SSH key management,Enable OS Login at project or instance level,ACTIVE
